transcript	description	eval	begin	end
ENSMUST00000023393.14	Amylase, catalytic domain	8.2e-05	186	598
ENSMUST00000023393.14	E-set domains of sugar-utilizing enzymes	0.0065	69	181
ENSMUST00000023393.14	alpha-Amylases, C-terminal beta-sheet domain	0.02	599	647
ENSMUST00000026677.3	Arylamine N-acetyltransferase	0.00015	1	289
ENSMUST00000032813.9	MIR domain	0.0027	217	394
ENSMUST00000032813.9	MIR domain	0.028	103	187
ENSMUST00000032813.9	SPRY domain	0.041	1081	1208
ENSMUST00000032813.9	SPRY domain	0.053	660	811
ENSMUST00000032813.9	SPRY domain	0.04	1434	1559
ENSMUST00000032813.9	IP3 receptor type 1 binding core, domain 2	0.012	440	552
ENSMUST00000032813.9	IP3 receptor type 1 binding core, domain 2	0.018	2197	2267
ENSMUST00000047110.13	Pleckstrin-homology domain (PH domain)	0.026	15	116
ENSMUST00000047935.7	NAP-like	9.86e-06	191	378
ENSMUST00000051005.4	Rhodopsin-like	0.00077	22	247
ENSMUST00000051005.4	Rhodopsin-like	0.00077	304	384
ENSMUST00000051520.2	Rhodopsin-like	0.0021	1	315
ENSMUST00000051600.2	Rhodopsin-like	0.0053	1	315
ENSMUST00000051795.9	RING finger domain, C3HC4	0.0084	4	83
ENSMUST00000051795.9	SPRY domain	0.0017	293	373
ENSMUST00000051795.9	B-box zinc-binding domain	0.0013	87	150
ENSMUST00000052718.4	Voltage-gated potassium channels	4e-04	186	211
ENSMUST00000052718.4	Voltage-gated potassium channels	4e-04	240	437
ENSMUST00000052718.4	Tetramerization domain of potassium channels	2.75e-06	57	154
ENSMUST00000053168.3	Tetratricopeptide repeat (TPR)	0.041	308	403
ENSMUST00000053168.3	Tetratricopeptide repeat (TPR)	0.014	377	407
ENSMUST00000053168.3	Tetratricopeptide repeat (TPR)	0.014	491	579
ENSMUST00000053413.11	Cyclin	4.92e-08	147	292
ENSMUST00000054055.6	Ubiquitin carboxyl-terminal hydrolase, UCH	0.0011	290	549
ENSMUST00000054055.6	Ubiquitin carboxyl-terminal hydrolase, UCH	0.0011	759	823
ENSMUST00000054737.2	Rhodopsin-like	0.012	1	305
ENSMUST00000055843.8	Canonical RBD	0.0053	332	489
ENSMUST00000055843.8	SPOC domain	0.00032	707	885
ENSMUST00000055843.8	Canonical RBD	0.015	133	232
ENSMUST00000056328.5	RING finger domain, C3HC4	0.01	360	419
ENSMUST00000056403.6	Linker histone H1/H5	0.0076	44	123
ENSMUST00000056898.4	Rhodopsin-like	0.0058	33	341
ENSMUST00000058750.3	Rhodopsin-like	0.01	3	312
ENSMUST00000060609.7	KRAB domain (Kruppel-associated box)	0.0022	2	57
ENSMUST00000061235.2	Rhodopsin-like	0.0035	1	307
ENSMUST00000061405.5	Cadherin	0.0041	338	442
ENSMUST00000061405.5	Cadherin	0.0029	554	663
ENSMUST00000061405.5	Cadherin	0.0092	29	95
ENSMUST00000061405.5	Cadherin	0.003	125	232
ENSMUST00000061405.5	Cadherin	0.0013	438	571
ENSMUST00000061405.5	Cadherin	7e-04	234	345
ENSMUST00000061482.5	Rhodopsin-like	0.0079	4	329
ENSMUST00000061767.4	Leucine zipper domain	0.0035	221	265
ENSMUST00000062494.1	Rhodopsin-like	0.0029	7	315
ENSMUST00000063093.9	Rhodopsin-like	0.0018	59	262
ENSMUST00000063093.9	Rhodopsin-like	0.0018	469	573
ENSMUST00000065806.4	Classic zinc finger, C2H2	0.0017	297	351
ENSMUST00000065806.4	Classic zinc finger, C2H2	0.0053	258	298
ENSMUST00000065806.4	Classic zinc finger, C2H2	0.0025	341	375
ENSMUST00000066998.4	Rhodopsin-like	0.013	31	329
ENSMUST00000068163.1	Rhodopsin-like	0.0026	3	321
ENSMUST00000071355.1	Rhodopsin-like	0.0079	9	313
ENSMUST00000071625.1	Rhodopsin-like	0.0067	2	307
ENSMUST00000072057.1	Rhodopsin-like	0.0048	5	304
ENSMUST00000072133.4	Classic zinc finger, C2H2	0.0063	24	76
ENSMUST00000072133.4	Classic zinc finger, C2H2	0.014	2	29
ENSMUST00000074611.2	Rhodopsin-like	0.005	3	311
ENSMUST00000074713.2	Rhodopsin-like	0.0014	1	307
ENSMUST00000075296.3	Rhodopsin-like	0.0071	22	296
ENSMUST00000076256.7	MHC antigen-recognition domain	6.02e-09	24	202
ENSMUST00000076256.7	C1 set domains (antibody constant domain-like)	8.44e-06	205	297
ENSMUST00000077696.12	I set domains	0.024	144	230
ENSMUST00000077696.12	I set domains	0.061	245	286
ENSMUST00000077696.12	I set domains	0.057	48	129
ENSMUST00000077985.3	Rhodopsin-like	0.0049	15	313
ENSMUST00000078217.1	Rhodopsin-like	0.0072	1	307
ENSMUST00000078756.6	Nucleosome core histones	2.45e-06	4	128
ENSMUST00000079117.1	Rhodopsin-like	0.0061	3	308
